Задача: Транспонировать матрицу (в качестве строк должны быть года, в качестве столбцов должны быть наименования экономической деятельности) и создать SQL запрос для переноса этой таблицы в базу данных Postgres

Среднегодовое наличие основных фондов в среднегодовых ценах отчетного года по видам экономической деятельности (млн рублей)									
Наименование вида экономической деятельности	2008	2009	2010	2011	2012	2013	2014	2015	2016
Всего	126,602,493	140,732,504	147,870,191	175,850,029	200,608,383	217,541,246	232,586,468	256,769,553	292,935,814
Сельское хозяйство, охота и лесное хозяйство	5,953,973	6,437,863	6,595,930	6,979,179	7,278,360	7,567,361	8,152,111	8,784,723	9,572,787
Рыболовство, рыбоводство	182,324	185,662	203,526	227,805	312,190	299,969	303,490	309,330	328,870
Добыча полезных ископаемых	10,899,965	11,702,121	13,206,945	14,110,247	16,231,644	18,195,174	19,182,275	23,684,764	27,217,916
Обрабатывающие производства	12,374,473	13,285,528	14,576,258	16,237,413	17,815,325	19,690,891	24,273,850	26,321,676	29,633,824
Производство и распределение электроэнергии,  газа и воды	8,711,470	9,402,312	10,521,653	12,429,719	14,483,947	15,288,187	16,578,989	19,162,305	21,389,194
 Строительство	3,014,645	2,624,730	2,709,908	2,720,439	2,575,153	2,520,759	2,518,500	3,310,433	3,412,264
Оптовая и розничная торговля; ремонт  автотранспортных средств, мотоциклов, бытовых изделий и  предметов личного пользования	2,782,492	3,261,574	3,844,199	5,487,882	6,607,837	6,043,595	7,469,601	7,486,685	7,424,042
Гостиницы и рестораны	758,783	847,612	1,001,983	1,156,522	1,374,601	1,318,891	1,363,672	1,868,483	2,034,051
Транспорт и связь	30,679,971	31,551,933	32,971,015	39,179,076	46,785,450	48,677,373	51,916,410	56,762,848	63,220,918
Финансовая деятельность	2,068,322	2,157,349	2,515,073	2,901,996	3,446,081	3,489,667	3,148,527	4,439,246	5,108,165
Операции с недвижимым имуществом, аренда и  предоставление услуг	36,557,557	45,767,620	43,969,288	54,220,644	61,587,768	69,846,282	71,379,005	73,484,584	82,735,155
Государственное управление и обеспечение  военной безопасности;  социальное обеспечение	4,184,945	4,484,956	5,719,523	8,157,299	9,098,533	9,923,309	9,930,050	12,552,973	18,682,903
Образование	2,928,616	3,229,387	3,686,711	4,369,333	5,083,248	5,640,114	6,351,913	7,030,556	8,353,785
Здравоохранение и предоставление социальных  услуг	2,384,001	2,529,588	2,891,259	3,624,326	3,957,595	4,621,888	5,284,802	6,206,640	7,246,935
Предоставление прочих коммунальных,  социальных и персональных услуг	3,120,067	3,262,738	3,456,920	4,048,149	3,970,651	4,417,786	4,733,273	5,364,307	6,575,005



ВАЖНО: обратить внимание на то, чтобы на пересечении оставались те же числа, что и в оригинальных данных.
