Страховые премии (взносы), собранные страховщиками																		
																		     млн рублей
	2007	2008	2009	2010	2011	2012	2013	20141)	2015	2016г.	2017	2018	2019	2020	2021	20223)	20233)	20243)
Всего по добровольному и обязательному страхованию 2)	775 083,0	954 754,2	979 099,3	1 036 677,0	1 269 762,8	811 105,2	901 077,9	983 400,6	1 033 532,0	1 190 596,9	1 284 990,8	1 488 087,8	1 486 289,4	1 548 818,6				
															1 819 700,0	1 827 886,7	2 289 604,3	3 754 893,7
Добровольное страхование – всего	404 288,5	468 764,4	420 018,2	451 035,0	545 112,2	654 437,0	734 212,6	805 070,8	785 751,9	930 563,5	1 036 531,8	1 228 812,5	1 246 629,1	1 301 636,7	1 562 996,5	1 532 573,4	1 945 706,7	3 403 351,6
"в том числе: 
личное страхование"	113 160,3	128 479,6	118 404,2	140 646,4	177 285,5	236 142,5	291 862,9	328 460,5	341 458,8	465 693,5	593 826,8	774 630,4	778 841,8	811 542,7	987 930,0	939 480,9	1 224 384,1	2 541 976,5
в том числе страхование:																		
жизни	22 341,7	19 229,8	16 525,5	21 320,4	34 605,8	52 805,6	84 933,2	109 101,2	129 315,7	215 950,8	331 734,7	452 296,1	409 360,2	430 789,9	524 774,2	514 950,7	775 840,5	2 032 850,2
из него: с условием периодических страховых выплат	2 712,9	1 419,5	2 060,2	2 546,8	3 008,3	4 753,3	21 218,2	32 561,9	41 272,0	50 082,7	60 413,8	10 440,7	14 376,2	19 190,3	13 834,6	6 909,0	7 660,4	18 828,6
пенсионное страхование						1 065,3	1 586,0	1 589,7	1 405,6	1 397,2	1 444,4	1 559,7	2 120,8	2 267,8	2 172,1	1 878,5	2 265,4	2 542,5
от несчастных случаев и болезней	27 632,7	34 760,1	27 531,7	33 608,1	45 786,2	74 632,7	92 835,8	95 236,2	81 920,7	111 106,9	121 811,4	170 005,5	190 147,8	204 034,7	262 677,3	210 421,8	197 399,9	165 913,0
медицинское	63 185,9	74 489,7	74 347,0	85 717,9	96 893,5	108 704,2	114 093,9	124 123,1	130 222,4	138 635,8	140 280,6	152 328,8	179 333,7	176 718,1	200 478,6	214 108,4	251 143,7	343 213,2
имущественное страхование	291 128,1	340 284,8	301 614,0	310 388,6	367 826,7	418 294,5	442 349,7	476 610,3	444 293,1	464 870,0	442 705,0	454 182,1	467 787,3	490 094,1	575 066,5	593 092,6	721 322,6	861 375,1
"в том числе страхование: 
имущества юридических лиц"	145 487,0	162 393,9	137 877,0	142 677,5	171 812,3	178 153,2	180 975,5	195 636,1	191 068,0	200 317,5	185 509,2	187 795,2	207 375,2	222 052,1	251 974,8	285 094,4	341 786,8	408 456,1
из него средств транспорта 	37 221,0	40 744,7	35 921,1	35 378,4	41 941,5	52 112,0	55 952,3	60 645,3	66 737,6	68 946,8	69 775,8	77 350,7	81 334,5	84 612,6	105 664,0	122 862,1	161 714,1	189 160,0
имущества граждан	122 643,4	152 363,2	129 871,9	134 559,0	156 131,5	180 971,8	197 673,0	207 937,0	178 358,2	168 379,1	164 311,3	170 564,5	176 843,3	180 682,0	206 882,9	204 809,4	253 387,3	298 727,7
из него строений граждан	…	…	…	…	…	20 159,0	21 255,7	27 027,1	26 341,7	21 786,1	22 364,2	21 937,9	23 190,1	22 935,5	29 749,7	33 722,0	49 346,5	54 147,8
предпринимательских и финансовых рисков	3 158,4	4 069,5	7 601,5	7 457,1	11 050,0	19 023,0	21 664,9	20 199,8	22 317,7	29 925,7	35 322,1	43 309,0	45 971,3	42 695,6	61 938,0	48 213,4	58 097,3	74 804,1
гражданской ответственности	19 839,3	21 458,3	26 263,7	25 695,0	28 832,9	29 889,5	29 956,9	38 140,9	42 605,4	56 232,8	53 617,5	48 763,1	31 923,6	36 597,3	45 098,6	43 667,6	54 791,5	65 671,6
сельскохозяйственное страхование	…	…	…	…	…	10 257,0	12 079,4	14 696,5	9 943,8	10 014,9	3 944,8	3 750,2	5 673,9	8 067,8	9 172,2	11 307,7	13 259,8	13 715,7
Обязательное страхование – всего2)	370 794,5	485 989,8	559 081,1	585 642,0	724 650,6	156 668,2	166 865,3	178 329,8	247 780,1	260 033,4	248 459,0	259 275,2	239 660,3	247 181,8	256 703,5	295 313,2	343 897,6	351 542,1
"в том числе:
личное страхование2)"	297 084,8	405 609,3	472 079,0	492 274,2	618 873,2	25 337,8	18 488,0	17 638,4	18 163,2	17 952,9	18 328,3	26 171,3	15 688,1	16 866,8	16 875,8	17 312,9	15 936,2	13 213,9
"из него 
государственное страхование"	…	…	…	…	…	24 790,1	18 442,3	17 553,4	18 092,5	17 945,1	18 328,2	26 171,3	15 688,1	16 866,8	16 875,8	17 312,9	15 936,2	13 213,9
медицинское	290 729,5	398 747,7	465 236,2	485 618,1	611 364,6	-	-	-	-	-	-	-	-	-	-	-	-	-
имущественное страхование	73 709,8	80 380,5	87 002,1	93 367,8	105 777,4	131 330,4	148 377,3	160 691,4	229 617,0	242 080,5	230 130,8	233 104,0	223 972,2	230 314,9	239 827,6	278 000,4	327 961,4	338 328,3
из него страхование гражданской ответственности 	73 691,3	80 361,4	87 002,1	93 367,8	105 774,9	131 330,4	148 315,1	160 669,9	229 607,7	242 079,8	230 130,7	233 104,0	223 967,9	230 314,9	239 827,6	278 000,4	327 215,4	338 328,3
из него:																		
владельцев транспортных средств	73 690,3	80 355,6	86 949,0	93 102,2	105 518,6	121 948,0	135450, 0	150 385,9	220 329,3	235 158,3	224 259,5	227 466,5	218 370,4	225 292,9	234 900,5	273 668,0	323 019,1	332 416,8
перевозчика перед пассажиром	-	-	-	-	-	-	-	3 628,7	3 326,8	3 724,5	2 810,1	2 917,4	2 834,6	2 232,9	1 820,1	1 855,7	1 762,5	2 929,0
владельца опасного объекта за причинение вреда в результате аварии на опасном объекте	-	-	-	-	-	-	-	6 173,6	5 926,0	3 197,1	2 762,9	2 438,9	2 480,7	2 789,2	2 524,5	2 476,6	2 433,5	2 982,2
																		
1) Без учета данных по Крымскому федеральному округу.																		
2) С 2012 года - без учета обязательного медицинского страхования																		
3) Без учета данных по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям.																		
