          К содержанию																		
Выплаты по договорам страхования, осуществленные страховщиками																		
																		
																		млн рублей
	2007	2008	2009	2010	2011	2012	2013	20141)	2015	2016	2017	2018	2019	2020	2021	20223)	20233)	20243)
Всего по добровольному и обязательному страхованию 2)	486 597,2	633 233,6	739 908,1	774 830,6	902 205,7	376 601,8	419 850,7	473 469,1	513 954,7	514 070,3	513 205,4	523 992,9	615 869,6	664 717,4	804 933,9	896 450,1	1 037 972,6	2 146 493,9
Добровольное страхование – всего	161 914,2	200 512,4	232 853,5	235 017,8	242 452,5	293 198,1	324 390,9	363 461,3	371 313,0	325 326,4	316 736,1	371 045,1	454 675,5	507 615,9	635 876,1	733 488,6	873 172,7	1 939 941,1
"     в том числе: 
личное страхование"	67 361,7	69 553,3	76 331,1	80 123,5	90 354,6	106 373,8	115 443,9	125 609,2	139 944,3	147 104,2	157 180,1	194 787,5	277 651,7	342 565,8	455 853,1		662 543,4	1 635 819,5
																543 266,4		
"в том числе страхование: 
жизни"	16 149,1	6 089,1	6 206,4	7 698,4	7 717,6	13 348,9	12 335,0	14 334,2	23 600,5	29 940,4	36 709,8	66 999,2	133 420,5	204 592,8	285 943,7	351 948,9	460 353,8	1 407 476,4
"из него: 
с условием периодических страховых выплат"	2 623,3	1 118,6	961,8	1 158,2	1 388,4	1 704,4	2 199,3	3 057,5	3 818,1	2 324,0	3 941,7	2 627,1	4 796,3	4 792,9	9 247,2	6 479,0	8 149,6	19 969,8
пенсионное страхование						578,0	644,0	836,3	966,5	1 033,5	1 078,7	922,8	977,1	1 142,0	1 465,7	3 457,6	1 225,3	1 212,5
от несчастных случаев и болезней	3 457,0	4 396,7	5 405,8	5 954,8	8152,9 	10 645,7	13 505,2	15 318,0	15 245,6	15 252,1	14 508,6	16 486,1	18 682,2	19 982,8	27 012,9	34 039,0	31 877,8	36 428,6
медицинское	47 755,6	59 067,5	64 718,9	66 470,3	74 484,1	82 379,2	89 603,7	95 957,0	101 098,1	101 911,6	105 961,7	111 302,3	125 549,0	117 990,1	142 896,5	157 278,4	170 311,8	191 914,5
имущественное страхование	94 552,6	130 959,1	156 522,4	154 894,3	152 097,9	186 824,3	208 947,0	237 852,1	231 368,7	178 222,2	159 556,0	176 257,5	177 023,8	165 050,0	180 023,0	190 222,2	210 629,4	304 121,6
в том числе страхование:	33 893,5	41 627,2	44 555,0	51 985,0	52 773,7	66 429,0	62 209,9	72 266,4	84 349,9	71 205,4	73 901,1	89 564,9	87 320,1	74 632,3	82 325,4		103 017,4	158 026,2
имущества юридических лиц															82 325,4	91 130,0		
из него средств транспорта 	13 414,1	17 985,5	22 055,3	18 577,3	21 913,9	30 107,2	34 819,9	36 301,3	44 212,2	37 207,0	33 833,3	36 291,6	49 210,5	47 788,9	51 810,8	55 860,0	64 887,4	80 517,2
имущества граждан	58 233,1	86 241,1	106 874,8	97 270,6	93 935,4	106 290,0	132 963,6	146 728,1	117 529,1	77 465,0	63 395,0	63 606,3	71 068,5	70 416,0	76 884,1	81 671,2	84 609,0	113 235,0
из него строений граждан	…	…	…	…	…	4 318,0	5 565,6	5 027,6	5 391,2	4 768,0	4 502,4	4 728,3	5 042,7	4 544,8	5 409,2	6 040,8	6 558,3	9 987,8
предпринимательских и финансовых рисков	843,7	427,5	1 990,1	2 629,9	1 335,5	2 048,0	1 693,2	3 631,4	15 808,3	15 810,9	13 350,0	11 396,5	7 171,6	9 760,8	5 579,2	6 752,7	10 174,6	14 075,1
гражданской ответственности	1 582,2	2 663,3	3 102,4	3 008,8	4 053,2	5 344,5	7 208,0	10 359,5	9 658,3	9 689,1	7 370,1	10 124,1	9 459,9	7 180,2	9 583,8	6 838,1	7 820,9	10 015,5
сельскохозяйственное страхование	…	…	…	…	…	6 712,8	4 872,4	4 866,7	4 023,2	4 051,7	1 539,8	1 565,6	2 003,6	3 060,6	5 650,6	3 830,2	5 007,5	8 769,7
