Финансовые результаты деятельности страховых организаций																		
																	млрд  рублей	
	2007	2008	2009	2010	2011	2012	2013	20141)	2015	2016	2017	2018	2019	2020	2021	20222)	20232)	20242)
Прибыль прибыльных организаций	29,3	23,5	36,4	42,1	45,2	80,7	61,4	79,8	141,7	149,7	176,8	210,8	250,1	254,3	246,6	221,6	386,1	540,4
																		
Доля прибыльных организаций в общем количестве страховых организаций, %	86,7	80,2	86,9	85,8	85,6	88,9	92,8	85,2	83,7	78,9	77,5	80,2	80,9	86,2	84,2	90,3	91,9	94,2
Убыток убыточных организаций	3,0	11,8	37,5	4,0	3,0	12,0	16,2	17,1	12,3	34,5	59,4	5,0	6,8	5,2	4,9	6,1	2,3	1,2
Доля убыточных организаций в общем количестве страховых организаций, %	13,3	19,8	13,1	14,2	14,4	11,1	7,2	14,8	16,3	21,1	22,5	19,8	19,1	13,8	15,8	9,7	8,1	5,8
Дебиторская задолженность (на конец периода)	144,6	183,2	184,0	201,9	178,3	215,5	255,6	366,9	357,7	346,0	282,2	290,5	318,2	367,8	392,4	426,1	474,6	565,9
   из нее просроченная	1,2	1,0	3,2	3,8	5,4	6,5	6,7	6,3	10,4	19,3	14,8	17,7	22,3	19,8	25,2	29,8	30,8	29,8
Кредиторская задолженность (на конец периода)	103,4	112,6	105,7	101,5	96,9	107,7	137,4	164,3	173,8	151,0	222,5	254,8	267,7	328,0	336,5	336,7	433,8	526,3
   из нее просроченная	0,3	0,3	0,8	0,3	0,4	1,0	0,9	1,3	1,1	0,3	0,1	1,5	0,3	0,2	0,8	0,0	0,9	0,9
																		
1)Без учета данных по Крымскому федеральному округу.																		
2) Без учета данных по Донецкой Народной Республике (ДНР), Луганской Народной Республике (ЛНР), Запорожской и Херсонской областям.																		
