Сгенерируй PostresSQL запрос, создающий следующую таблицу
Также добавь колонки долготы и широты, а в ней для каждой области, республики и автономного округа укажи координаты главного города (для Московской и Ленинградской областей можешь использовать Балашиху и Колтуши), а для Российской Федерации сделай центральную точку

	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Российская Федерация	25 794 618,1	33 407 033,4	35 944 433,7	38 334 530,2	41 233 490,9	45 525 133,8	51 316 283,5	57 611 057,8	68 982 626,6	92 253 929,6	91 296 007,7	119 675 282,8	125 634 740,1	139 365 674,7	164 603 919,8
Центральный федеральный округ	6 762 785,7	8 732 426,6	9 172 759,5	10 206 138,7	11 314 364,2	11 664 733,5	14 468 151,9	16 134 176,3	18 999 143,6	28 508 409,3	31 783 411,4	42 850 764,2	40 256 687,2	47 509 409,1	57 712 452,9
Белгородская область	361 039,7	416 541,1	544 319,9	490 293,2	529 776,7	590 051,8	776 873,6	875 488,8	936 643,3	1 082 149,0	1 123 055,7	1 640 101,3	1 561 370,0	1 633 445,6	1 810 737,3
Брянская область	94 908,7	96 807,5	109 821,3	124 249,3	126 996,7	153 969,5	160 378,3	166 797,8	188 489,4	273 425,4	328 328,6	448 835,0	496 301,2	591 046,9	673 560,0
Владимирская область	212 680,1	229 833,5	249 902,1	264 216,4	274 041,3	282 413,3	367 605,1	418 513,0	475 513,2	525 641,0	558 053,6	712 189,4	796 397,8	937 462,2	1 061 770,5
Воронежская область	189 996,7	245 604,9	288 087,2	292 884,3	343 203,3	403 453,8	461 386,7	529 241,0	611 936,5	791 804,8	708 756,6	948 959,2	1 069 886,5	1 122 577,8	1 297 067,5
Ивановская область	70 590,5	81 465,8	90 190,4	90 801,0	87 267,1	91 923,4	108 113,0	115 271,8	123 187,3	173 920,5	189 359,3	227 673,3	267 794,5	302 008,2	326 662,2
Калужская область	257 091,1	338 762,4	427 700,1	441 797,1	507 579,4	468 991,1	509 168,8	612 610,9	781 029,6	962 659,1	2 198 677,3	1 084 379,7	1 038 668,3	983 530,8	1 414 165,2
Костромская область	68 810,0	95 558,0	110 315,4	117 375,8	124 266,0	121 973,3	135 984,5	147 971,9	154 333,8	178 484,9	174 952,0	222 898,9	235 684,2	277 694,1	334 716,7
Курская область	174 348,4	190 036,8	200 130,0	201 290,8	204 956,9	243 741,6	326 933,0	361 316,1	407 058,8	484 809,3	526 180,0	664 493,2	681 327,9	816 857,7	927 551,6
Липецкая область	323 191,4	374 396,5	400 808,9	412 798,5	463 907,5	528 756,3	632 328,0	679 524,5	848 123,9	806 226,2	876 997,1	1 303 559,7	1 248 454,9	1 401 716,8	1 551 016,4
Московская область	1 114 847,3	1 512 928,6	1 710 541,8	1 868 042,6	2 087 559,9	2 146 692,8	2 254 730,4	2 619 035,8	2 706 592,0	5 134 126,6	4 306 104,5	6 621 018,2	5 863 380,7	7 072 482,8	8 775 113,3
Орловская область	59 125,4	68 955,1	83 523,2	81 993,7	84 991,0	87 984,0	163 675,8	132 478,3	145 944,9	1 200 082,0	211 447,1	249 647,1	281 776,2	294 052,5	366 563,4
Рязанская область	136 909,9	162 734,7	189 835,4	208 985,3	224 910,9	233 799,7	282 217,9	290 602,5	327 494,2	292 645,2	409 640,6	546 745,3	618 964,4	682 724,3	849 328,6
Смоленская область	104 215,2	159 092,9	167 703,3	178 466,4	177 864,6	207 428,9	224 650,7	229 950,6	252 910,1	291 351,2	372 652,7	399 237,4	436 145,6	509 357,0	617 086,0
Тамбовская область	58 725,3	69 308,0	81 134,0	87 718,9	99 371,6	116 979,4	186 657,9	163 877,9	198 134,1	237 501,4	281 319,0	337 639,7	378 772,0	451 992,0	539 797,5
Тверская область	163 274,0	192 895,9	222 040,9	238 785,3	254 502,2	240 998,1	286 560,6	321 520,0	358 641,7	430 826,4	454 217,5	511 043,9	558 157,2	689 814,6	775 042,4
Тульская область	249 736,6	336 617,9	344 401,5	368 746,2	431 529,3	507 629,7	589 119,6	636 058,6	689 243,4	820 993,5	969 303,9	1 303 338,4	1 339 301,0	1 509 327,9	1 967 062,6
Ярославская область	175 597,9	216 173,7	227 357,6	244 255,0	254 894,4	259 524,0	322 607,0	382 316,9	382 545,3	488 567,2	514 415,9	608 291,8	644 641,6	736 446,5	787 058,1
г. Москва	2 947 697,5	3 944 713,2	3 724 946,3	4 493 438,8	5 036 745,5	4 978 422,7	6 679 160,9	7 451 599,8	9 411 322,1	14 333 195,7	17 579 949,9	25 020 712,9	22 739 663,3	27 496 871,4	33 638 153,5
Северо-Западный федеральный округ	2 931 500,8	3 760 340,0	4 095 204,7	4 415 677,6	4 360 575,1	6 008 215,7	6 612 473,9	7 283 484,7	8 455 707,6	10 590 490,3	10 786 995,4	14 386 693,7	15 129 272,7	16 334 393,4	18 646 829,0
Республика Карелия	82 411,9	106 338,6	108 563,3	105 574,8	103 278,6	107 390,8	151 570,7	164 523,1	189 542,1	254 682,2	253 231,9	383 070,3	305 673,1	320 724,7	353 922,5
Республика Коми	275 624,5	369 593,4	451 033,9	437 012,9	440 399,9	512 394,8	544 425,2	548 926,9	657 548,8	997 267,9	871 249,0	1 088 820,1	1 198 695,0	1 263 599,2	1 406 448,6
Архангельская область	253 867,7	294 702,3	200 245,9	458 888,2	393 385,1	449 768,8	411 116,8	646 634,6	688 238,0	737 999,6	696 920,6	1 125 572,9	1 136 839,1	1 260 247,6	1 303 333,2
Ненецкий автономный округ	134 324,0	165 676,0	37 606,9	165 962,4	200 125,6	182 596,3	185 977,7	296 790,6	373 981,7	405 790,3	296 937,9	508 479,5	627 080,7	625 386,5	738 520,1
Архангельская область без АО	119 543,7	129 026,3	162 639,0	292 925,8	193 259,5	267 172,5	225 139,0	349 844,0	314 256,3	332 209,3	399 982,7	617 093,4	509 758,5	634 861,1	564 813,1
Вологодская область	354 342,5	417 755,7	355 557,5	390 171,8	425 592,7	504 605,0	557 103,6	609 408,7	718 631,5	837 107,9	847 930,9	1 372 314,3	1 328 794,2	1 371 499,3	1 452 973,0
Калинингpадская область	178 675,8	277 010,9	311 941,3	372 261,4	365 408,6	358 277,2	425 712,0	463 831,3	593 442,2	714 823,1	714 431,1	1 012 388,5	732 641,7	742 078,9	821 790,3
Ленинградская область	419 001,1	465 288,0	437 400,6	497 226,7	555 721,8	712 617,7	905 767,0	985 171,1	1 226 860,1	1 485 488,0	1 714 693,9	1 923 886,8	2 241 127,9	2 337 687,4	2 818 157,0
Мурманская область	170 312,9	193 266,9	207 003,7	215 940,7	228 636,5	257 257,8	271 293,5	245 612,1	277 896,9	565 172,2	1 060 109,3	1 234 038,4	1 256 757,2	1 258 081,9	1 171 363,1
Новгородская область	102 362,1	115 541,1	127 037,9	129 093,5	135 904,4	168 836,6	188 510,9	185 266,5	200 777,2	224 571,6	237 037,6	370 450,0	402 258,9	382 179,4	433 959,0
Псковская область	42 323,8	49 317,4	53 956,0	56 969,8	52 533,8	65 255,9	95 388,6	107 026,4	109 940,8	296 456,7	172 606,6	228 880,1	225 006,9	259 132,1	302 806,4
г. Санкт-Петербург	1 052 578,5	1 471 525,6	1 842 464,7	1 752 537,8	1 659 713,7	2 871 811,2	3 061 585,7	3 327 084,0	3 792 830,0	4 476 921,2	4 218 784,5	5 647 272,2	6 301 478,6	7 139 162,9	8 582 075,8
  Южный федеральный округ	1 328 021,2	1 617 241,3	1 731 151,0	2 037 599,0	2 173 708,2	2 548 637,6	2 950 645,4	3 370 647,6	3 712 178,1	7 268 865,5	5 211 979,5	5 913 769,7	6 660 293,8	7 251 657,3	8 178 659,0
Республика Адыгея	11 746,4	14 572,9	20 828,0	25 100,8	27 019,8	39 286,0	45 257,5	44 296,8	55 117,7	65 539,0	84 928,7	71 030,1	91 079,0	94 964,8	143 072,6
Республика Калмыкия	3 497,0	5 464,7	4 569,5	5 046,8	3 449,3	3 521,7	8 229,6	5 640,3	5 616,1	9 718,9	11 823,4	14 611,0	23 217,6	24 159,0	25 427,9
Республика Крым					21 369,5	65 323,5	97 074,0	100 207,2	133 473,9	196 461,5	236 506,5	239 760,2	307 678,8	429 802,2	384 282,1
Краснодарский край	417 230,9	457 923,9	454 254,3	627 400,5	693 101,7	776 255,3	930 931,2	1 198 319,1	1 000 527,4	4 141 581,6	2 159 499,9	2 530 049,6	2 808 036,8	2 936 301,0	3 256 828,6
Астраханская область	53 580,1	98 004,8	124 459,7	167 317,1	183 599,0	205 737,3	225 871,7	317 461,6	432 214,7	488 582,2	410 116,4	535 881,2	650 317,9	624 573,3	715 713,8
Волгоградская область	442 072,9	522 692,8	558 048,1	578 324,3	614 302,2	685 540,7	714 210,9	704 775,6	947 722,0	1 080 047,3	1 022 856,2	900 498,8	1 021 632,2	1 081 286,9	1 318 561,0
Ростовская область	399 894,0	518 582,1	568 991,3	634 409,5	629 509,1	760 055,5	921 350,8	985 398,1	1 120 114,8	1 271 227,8	1 257 449,3	1 586 973,0	1 715 171,6	2 024 114,9	2 280 103,9
г. Севастополь					1 357,6	12 917,5	7 719,7	14 548,9	17 391,4	15 707,4	28 799,1	34 965,8	43 159,9	36 455,1	54 669,3
  Северо-Кавказский федеральный округ	324 268,8	351 873,0	347 998,3	374 673,0	366 411,2	465 494,4	579 150,8	594 670,5	916 743,4	836 842,0	867 221,4	1 084 214,6	1 179 675,9	1 374 837,5	1 617 672,7
Республика Дагестан	26 215,4	31 975,6	28 004,1	20 229,4	19 881,7	24 501,2	49 426,7	54 006,0	333 162,8	125 766,8	108 808,8	127 880,9	141 446,5	161 962,6	158 649,8
Республика Ингушетия	1 121,9	3 467,2	2 561,8	5 576,0	3 806,8	3 741,0	2 573,8	4 225,6	4 403,4	10 585,6	5 273,6	8 395,1	9 662,6	11 097,7	10 792,1
Кабардино-Балкарская Республика	27 866,3	29 050,5	28 255,0	27 668,2	31 324,9	32 618,2	33 530,9	34 727,8	34 097,2	48 046,9	56 164,5	63 370,5	70 252,1	70 598,1	70 264,8
Карачаево-Черкесская Республика	22 989,9	30 899,3	39 295,8	44 799,6	38 771,8	37 253,1	44 228,7	51 380,4	51 853,1	59 389,1	57 894,5	62 773,9	63 578,2	69 675,7	90 955,6
Республика Северная Осетия - Алания	19 120,4	21 376,9	18 437,7	21 947,6	21 876,0	26 788,0	25 186,7	27 944,0	26 408,5	38 374,7	45 766,9	41 640,9	59 395,9	60 324,1	65 852,9
Чеченская Республика 	7 806,2	11 044,0	13 059,9	19 531,0	6 367,4	45 439,4	32 978,8	20 248,3	32 246,5	62 768,1	62 192,8	93 928,6	108 255,4	132 478,7	163 918,1
Ставропольский край	219 148,6	224 059,5	218 384,0	234 921,3	244 382,6	295 153,6	391 225,2	402 138,5	434 572,0	491 910,9	531 120,2	686 224,8	727 085,2	868 700,6	1 057 239,6
Приволжский федеральный округ	5 339 666,2	6 943 143,9	7 458 276,8	7 973 825,4	8 525 700,2	9 251 559,2	10 054 265,9	10 832 360,4	13 370 387,5	15 245 311,6	14 174 498,0	18 015 848,7	20 016 520,8	22 665 873,0	26 810 354,5
Республика Башкортостан	817 422,9	1 048 725,0	1 037 360,4	1 213 440,3	1 360 661,4	1 300 118,8	1 448 071,3	1 563 154,5	2 289 964,4	2 339 190,9	1 900 717,5	2 540 442,0	2 509 570,9	2 906 439,6	3 094 788,5
Республика Марий Эл	56 666,9	70 335,7	79 173,1	69 828,6	95 144,3	112 662,6	140 634,5	105 458,3	141 693,7	154 719,4	133 804,3	172 161,2	217 195,9	272 795,6	310 365,2
Республика Мордовия	90 940,9	98 742,8	119 546,4	120 735,0	109 703,5	124 567,8	169 104,1	190 415,6	216 616,7	267 386,1	295 012,2	387 418,8	428 858,3	474 652,6	583 421,8
Республика Татарстан	1 033 376,7	1 315 933,1	1 483 074,0	1 529 532,5	1 649 903,5	1 828 184,3	1 998 715,3	2 216 994,5	2 810 135,3	3 217 427,0	2 927 258,0	4 318 366,3	5 034 628,5	5 692 336,2	6 854 156,6
Удмуртская Республика	219 511,7	300 569,0	304 836,5	333 517,9	383 306,3	431 226,7	523 492,7	530 240,9	633 841,7	714 754,4	614 293,6	768 702,9	865 328,2	975 656,0	1 338 760,6
Чувашская Республика	103 285,5	128 547,3	142 885,0	134 435,2	138 724,0	146 088,3	176 408,3	188 801,1	210 883,5	266 205,3	255 626,1	307 448,0	354 457,8	464 960,4	612 737,3
Пермский край	598 859,0	1 008 998,7	1 086 844,7	1 119 190,8	1 161 104,9	1 252 651,8	1 253 388,8	1 385 689,2	1 705 756,4	1 855 437,5	1 726 177,1	2 069 124,2	2 218 978,1	2 456 203,4	2 807 286,9
