Сгенерируй PostresSQL запрос, создающий следующую таблицу
Также добавь колонки долготы и широты, а в ней для каждой области, республики и автономного округа укажи координаты главного города (для Московской и Ленинградской областей можешь использовать Балашиху и Колтуши)


	2010	2011	2012	2013	2014	2015	2016	2017 ("по критериям 3-й редакции Руководства Осло") 2017 ("по критериям 4-й редакции Руководства Осло"	)		2018	2019	2020	2021	2022	2023	2024						
Российская Федерация	9,5	10,4	10,3	10,1	9,9	9,3	8,4	8,5	14,6	12,8	9,1	10,8	11,9	11,0	11,3	12,5
  Центральный федеральный округ	8,6	10,2	10,9	10,7	10,9	10,9	10,3	9,9	18,5	16,2	10,8	12,5	12,6	11,0	12,0	13,9
Белгородская область	10,9	12,2	9,2	9,6	11,5	12,7	14,1	14,8	19,8	18,2	15,1	18,0	17,0	15,1	15,4	17,9
Брянская область	8,8	9,6	8,9	7,8	8,2	7,7	6,8	6,2	9,5	8,2	10,1	10,9	13,5	12,1	10,5	9,9
Владимирская область	9,5	10,8	12,8	10,7	12,6	11,2	10,4	9,0	15,3	13,0	10,5	12,6	11,7	9,9	12,4	13,7
Воронежская область	8,6	9,2	9,0	10,0	10,3	11,0	11,6	11,7	18,6	17,1	13,4	15,9	12,6	10,4	10,7	12,4
Ивановская область	5,8	5,1	8,5	8,4	6,3	4,4	3,2	4,2	9,0	8,1	10,0	16,2	14,9	13,8	13,2	12,0
Калужская область	8,3	7,9	10,6	10,9	9,7	10,9	8,5	9,0	17,5	16,6	11,5	12,1	12,4	12,0	13,4	13,2
Костромская область	8,5	9,1	6,0	7,0	6,0	8,2	8,6	2,8	6,5	5,8	4,6	5,6	4,6	5,2	5,7	5,8
Курская область	7,1	13,7	13,0	10,7	9,9	7,3	6,5	5,0	10,6	8,9	5,4	7,6	6,8	7,3	8,2	9,8
Липецкая область	8,9	10,0	14,1	17,5	18,6	20,0	19,2	18,5	29,1	23,6	11,1	11,5	13,7	12,1	11,9	10,5
Московская область	6,7	8,1	8,5	8,4	8,7	8,0	8,5	8,9	18,8	14,1	8,6	10,8	11,7	10,8	11,5	14,4
Орловская область	11,5	10,7	10,1	8,4	8,4	9,6	7,4	6,8	11,0	8,6	10,4	13,7	15,3	13,2	13,1	13,5
Рязанская область	7,0	8,4	11,0	11,4	13,1	12,7	12,3	12,1	17,5	16,4	11,8	10,9	12,6	10,2	9,8	11,7
Смоленская область	5,5	6,6	6,7	6,6	6,6	7,3	6,9	6,5	11,7	10,8	8,4	7,1	6,5	6,4	6,3	7,3
Тамбовская область	8,2	5,9	8,5	8,8	9,1	9,6	10,6	11,0	12,3	11,0	10,2	12,5	10,7	8,5	9,1	5,6
Тверская область	5,1	7,8	9,3	9,2	8,0	7,9	7,9	8,7	16,3	15,6	12,1	12,0	11,7	10,3	10,6	12,4
Тульская область	10,5	11,0	13,1	12,9	13,4	12,9	10,9	9,2	16,9	15,4	11,7	20,2	15,4	14,5	15,4	16,6
Ярославская область	10,0	12,0	12,3	11,0	10,3	8,7	7,1	8,3	16,3	14,2	10,6	10,7	12,8	10,6	11,4	13,1
г. Москва	13,3	18,6	18,6	18,3	18,8	19,7	16,1	14,3	32,4	33,8	12,1	13,0	13,3	11,3	12,9	15,5
