транспонируй таблицу в sql запрос, сделай года строками                                                                                                                                                    колонки: (Промышленное производство
из него:
добыча полезных ископаемых 
в том числе:
добыча топливно-энергетических полезных ископаемых
добыча полезных ископаемых, кроме топливно-энергетических
обрабатывающие производства 
в том числе:
производство пищевых продуктов, включая напитки, и табака
текстильное и швейное производство
производство кожи, изделий из кожи и производство обуви
обработка древесины и производство изделий из дерева
целлюлозно-бумажное производство; издательская и полиграфическая деятельность
производство кокса и нефтепродуктов
химическое производство
производство резиновых и пластмассовых изделий
производство прочих неметаллических минеральных продуктов
металлургическое производство и производство готовых металлических изделий
производство машин и оборудования
производство электрооборудования, электронного и оптического оборудования
производство транспортных средств и оборудования
прочие производства
производство и распределение  электроэнергии, газа и воды)


1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016  
Промышленное производство	84,0	86,3	78,4	95,4	92,4	101,0	95,2	108,9	108,7	102,9	103,1	108,9	108,0	105,1	106,3	106,8	100,6	89,3	107,3	105,0	103,4	100,4	101,7	96,6	101,1
из него:																									
добыча полезных ископаемых 	88,2	89,6	92,0	97,3	97,0	100,2	97,7	104,0	106,4	106,0	106,8	108,7	106,8	101,4	102,8	103,3	100,4	97,2	103,8	101,8	101,0	101,1	101,4	100,3	102,5
в том числе:																									
добыча топливно-энергетических полезных ископаемых	94,7	91,2	93,0	96,8	98,3	100,4	98,9	101,4	104,9	106,1	107,3	110,3	107,7	102,0	102,7	102,7	100,1	98,9	103,6	101,2	100,7	100,9	101,4	100,0	102,6
добыча полезных ископаемых, кроме топливно-энергетических	71,0	83,8	88,3	99,1	91,9	99,3	92,6	115,5	118,2	96,2	99,1	102,5	108,5	97,7	104,2	104,0	101,1	83,9	104,9	106,6	103,4	102,3	101,6	102,2	100,8
обрабатывающие производства 	81,8	84,6	72,8	94,2	89,7	102,0	93,8	112,8	110,9	102,0	101,1	110,3	110,5	107,6	108,4	110,5	100,5	84,8	110,6	108,0	105,1	100,5	102,1	94,6	100,1
в том числе:																									
производство пищевых продуктов, включая напитки, и табака	80,0	88,5	80,1	88,5	93,1	99,4	99,2	112,6	105,3	108,0	107,2	106,9	104,4	106,6	107,3	107,3	101,9	100,3	103,2	103,9	104,1	100,6	102,5	102,0	102,4
текстильное и швейное производство	71,9	78,9	55,0	70,6	78,4	102,1	92,3	115,3	124,9	107,8	97,5	101,2	96,0	103,6	111,8	99,5	94,6	83,9	108,8	100,8	100,7	104,3	97,5	88,3	105,3
производство кожи, изделий из кожи и производство обуви	78,0	78,0	50,3	67,9	73,0	88,5	78,9	134,2	107,6	113,7	111,4	111,5	99,4	100,2	122,0	102,3	99,7	98,5	119,9	105,7	98,1	95,6	97,2	88,6	105,1
обработка древесины и производство изделий из дерева	78,7	83,6	67,1	92,2	80,1	94,4	95,8	111,2	114,1	97,5	104,2	109,7	108,7	107,1	103,6	107,9	99,9	76,9	113,4	110,2	96,2	108,0	94,7	96,6	102,8
целлюлозно-бумажное производство; издательская и полиграфическая деятельность	88,0	83,0	79,0	108,6	86,5	100,9	105,4	119,3	118,0	109,6	104,1	107,8	105,1	103,6	106,7	108,3	100,3	84,1	103,1	106,5	105,8	94,8	100,4	93,7	100,8
производство кокса и нефтепродуктов	82,8	86,5	86,6	100,4	98,6	99,1	91,8	105,3	102,4	102,8	104,6	102,2	102,4	104,4	106,6	102,8	102,8	99,4	106,0	103,8	103,1	102,3	105,7	100,3	97,6
химическое производство	79,0	80,7	79,3	108,2	89,5	103,4	93,6	127,6	115,2	100,3	100,2	105,4	106,6	104,1	104,7	106,6	95,4	94,6	110,6	109,5	104,1	105,4	100,1	106,3	105,3
производство резиновых и пластмассовых изделий	79,5	80,1	63,8	94,7	89,9	103,2	95,4	122,3	126,1	101,6	100,2	105,5	113,5	116,4	121,0	125,5	122,8	87,1	124,4	111,4	112,8	105,9	107,5	96,3	105,4
производство прочих неметаллических минеральных продуктов	80,9	85,3	73,2	92,9	76,9	95,4	93,1	113,7	110,6	103,8	101,2	107,3	108,4	104,9	114,2	108,3	97,1	66,8	114,5	107,4	110,7	98,0	101,8	92,2	93,4
металлургическое производство и производство готовых металлических изделий	82,3	82,7	82,8	102,2	94,4	104,2	94,2	108,5	115,3	104,6	105,1	107,2	103,9	107,0	109,7	104,5	97,8	83,6	112,4	107,0	104,8	100,0	100,6	93,5	97,7
производство машин и оборудования	84,4	82,6	62,6	87,3	80,9	100,1	87,5	113,2	105,7	106,4	91,2	119,0	120,8	99,7	111,7	126,7	99,5	66,8	115,2	111,1	102,7	96,6	92,2	88,9	103,8
производство электрооборудования, электронного и оптического оборудования	79,8	87,7	60,2	88,5	91,9	99,8	100,3	105,5	125,0	108,4	92,3	143,2	134,5	133,2	115,0	110,9	92,6	68,4	118,9	111,9	106,4	99,0	99,5	92,1	99,0
производство транспортных средств и оборудования	85,3	88,4	66,7	89,5	95,0	111,5	88,4	113,8	110,7	73,6	99,0	114,0	111,5	107,1	104,7	107,8	100,4	68,5	127,2	117,2	110,3	102,2	108,5	91,5	97,0
прочие производства	91,2	91,8	72,0	100,6	83,9	105,6	88,6	113,6	111,5	108,5	103,9	110,8	110,2	108,7	109,8	104,6	98,3	81,6	120,6	105,3	102,6	95,4	102,7	94,0	93,8
производство и распределение  электроэнергии, газа и воды 	95,3	95,3	91,2	96,8	97,3	98,2	97,7	98,8	104,0	101,4	104,8	103,3	101,1	100,9	103,4	99,4	100,6	97,3	102,2	100,2	101,3	97,5	99,9	98,4	101,5
